culmino_estudio,genero,ingreso_mensual,horas_semanales,ingreso_primer_empleo,categoria_ocupacional,tipo_contrato,sector_laboral,tamanio_empresa,ocupacion_cod,actividad_economica_cod,titulado,cuadro_merito,postgrado,idioma_extranjero,practicas_preprof,gestion_universidad,distrito,salario_hora,departamento_id,carrera_id
1.0,2.0,350.0,25.0,1.0,3.0,4.0,5.0,5.0,367,4922,2.0,1.0,2.0,3.0,1.0,1.0,SAN JUAN DE MIRAFLORES,3.255813953488372,15,307
1.0,2.0,1500.0,40.0,3.0,3.0,2.0,5.0,4.0,313,4321,2.0,1.0,1.0,5.0,1.0,2.0,PUEBLO LIBRE,8.720930232558139,15,194
1.0,1.0,3897.0,72.0,1.0,3.0,5.0,5.0,1.0,411,9000,0.0,2.0,2.0,2.0,1.0,2.0,MOQUEGUA,12.587209302325583,18,82
1.0,1.0,1130.0,53.0,0.0,3.0,2.0,5.0,5.0,314,8620,2.0,1.0,2.0,2.0,1.0,1.0,SAN MARTIN DE PORRES,4.958315050460729,15,218
1.0,1.0,1300.0,48.0,2.0,3.0,1.0,5.0,5.0,419,6419,1.0,2.0,2.0,3.0,1.0,1.0,SAN JUAN DE MIRAFLORES,6.298449612403101,15,97
1.0,1.0,2300.0,40.0,0.0,3.0,5.0,5.0,2.0,262,7220,2.0,2.0,2.0,3.0,1.0,2.0,LOS OLIVOS,13.372093023255815,15,31
1.0,2.0,3000.0,45.0,0.0,3.0,2.0,5.0,5.0,268,311,1.0,2.0,1.0,2.0,1.0,2.0,SANTIAGO DE SURCO,15.503875968992247,15,294
1.0,1.0,800.0,48.0,3.0,3.0,2.0,5.0,3.0,247,8549,0.0,2.0,2.0,5.0,1.0,1.0,SANTA CRUZ DE COCACHACRA,3.8759689922480622,15,108
1.0,2.0,1400.0,40.0,0.0,3.0,3.0,5.0,3.0,391,7310,2.0,2.0,2.0,3.0,1.0,1.0,VILLA MARIA DEL TRIUNFO,8.13953488372093,15,81
1.0,1.0,1500.0,40.0,0.0,3.0,2.0,5.0,2.0,242,8521,2.0,2.0,2.0,3.0,1.0,1.0,CHACLACAYO,8.720930232558139,15,151
1.0,2.0,750.0,25.0,3.0,3.0,7.0,5.0,1.0,243,8510,2.0,1.0,2.0,3.0,1.0,1.0,ATE,6.976744186046512,15,103
1.0,1.0,850.0,35.0,0.0,3.0,2.0,5.0,1.0,243,8510,2.0,2.0,1.0,2.0,1.0,1.0,SORITOR,5.647840531561462,22,114
1.0,2.0,750.0,30.0,1.0,3.0,7.0,5.0,2.0,243,8510,1.0,2.0,1.0,1.0,1.0,1.0,ATE,5.813953488372093,15,42
1.0,1.0,2500.0,45.0,0.0,3.0,1.0,5.0,4.0,335,2511,1.0,1.0,2.0,3.0,1.0,2.0,SAN LUIS,12.919896640826874,15,247
1.0,1.0,3000.0,40.0,4.0,3.0,2.0,5.0,5.0,375,1030,1.0,2.0,1.0,2.0,1.0,2.0,HUANCAYO,17.441860465116278,12,3
1.0,2.0,1400.0,24.0,0.0,3.0,5.0,5.0,4.0,236,8620,1.0,2.0,1.0,4.0,1.0,1.0,ICA,13.565891472868218,11,289
1.0,1.0,1200.0,30.0,2.0,3.0,2.0,2.0,5.0,243,8521,1.0,2.0,1.0,2.0,1.0,1.0,CASTILLA,9.30232558139535,20,114
1.0,1.0,3700.0,40.0,4.0,3.0,1.0,5.0,5.0,372,6511,2.0,2.0,1.0,2.0,1.0,2.0,SANTIAGO DE SURCO,21.511627906976745,15,241
1.0,2.0,1960.0,44.0,1.0,3.0,2.0,5.0,2.0,365,9499,2.0,1.0,2.0,3.0,1.0,2.0,LA MOLINA,10.35940803382664,15,55
1.0,2.0,860.0,50.0,1.0,3.0,7.0,5.0,1.0,237,7500,2.0,2.0,2.0,3.0,1.0,1.0,CHICLAYO,4.0,14,275
1.0,2.0,1100.0,44.0,0.0,3.0,2.0,2.0,5.0,229,8411,0.0,2.0,2.0,2.0,1.0,1.0,AYACUCHO,5.813953488372094,5,30
1.0,1.0,1860.0,48.0,0.0,3.0,1.0,5.0,4.0,229,4659,1.0,1.0,1.0,3.0,1.0,2.0,COMAS,9.011627906976745,15,181
1.0,1.0,2500.0,54.0,0.0,3.0,2.0,5.0,4.0,381,6920,0.0,1.0,2.0,1.0,1.0,2.0,ATE,10.766580534022395,15,97
1.0,1.0,678.0,60.0,2.0,3.0,2.0,5.0,5.0,451,4719,1.0,1.0,2.0,2.0,1.0,2.0,CAJAMARCA,2.627906976744186,6,7
1.0,1.0,2800.0,72.0,0.0,3.0,2.0,5.0,4.0,219,4290,2.0,1.0,2.0,1.0,1.0,2.0,SAN JUAN DE LURIGANCHO,9.043927648578812,15,193
1.0,2.0,3200.0,50.0,5.0,3.0,1.0,5.0,5.0,419,6419,1.0,1.0,2.0,3.0,1.0,2.0,SAN BORJA,14.883720930232558,15,22
1.0,2.0,1500.0,40.0,1.0,3.0,2.0,5.0,1.0,381,4923,2.0,2.0,2.0,4.0,1.0,1.0,PIURA,8.720930232558139,20,54
1.0,2.0,1300.0,42.0,3.0,3.0,2.0,5.0,2.0,311,7120,1.0,1.0,1.0,3.0,1.0,2.0,AREQUIPA,7.198228128460687,4,192
1.0,1.0,1200.0,40.0,0.0,3.0,4.0,2.0,5.0,217,8413,2.0,2.0,2.0,2.0,1.0,2.0,SAN MARTIN DE PORRES,6.976744186046512,15,244
1.0,1.0,2100.0,40.0,0.0,3.0,2.0,5.0,5.0,418,6419,2.0,1.0,2.0,4.0,1.0,1.0,SAN JUAN DE LURIGANCHO,12.209302325581396,15,97
1.0,2.0,2239.0,36.0,0.0,3.0,4.0,2.0,5.0,239,8610,1.0,1.0,1.0,3.0,1.0,1.0,HUARAZ,14.463824289405686,2,156
1.0,1.0,1800.0,40.0,0.0,3.0,2.0,5.0,3.0,421,5510,1.0,2.0,2.0,2.0,1.0,1.0,HUACHO,10.465116279069768,15,312
1.0,1.0,3000.0,50.0,3.0,3.0,2.0,5.0,5.0,418,4100,2.0,1.0,1.0,3.0,1.0,2.0,YANAHUARA,13.953488372093023,4,193
